date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.08.31,17:00:00,143.692,143.945,143.597,143.928,3599,143.7856876953415,143.7761742379265,143.8439456036469,93.29392607375006
2018.08.31,17:15:00,143.927,144.017,143.886,143.953,3911,143.8526126172049,143.81546885172062,143.8567755326296,94.31510165038867
2018.08.31,17:30:00,143.952,144.096,143.952,144.056,3121,143.93396757032295,143.86892021800494,143.8802137052614,97.47870800506713
2018.08.31,17:45:00,144.055,144.225,143.849,144.111,4807,144.00478054219377,143.92271572511495,143.90736503405418,98.41857146712884
2018.08.31,18:00:00,144.112,144.152,143.902,143.92,4866,143.97086832531625,143.92211223064498,143.90885150063605,27.421815761457733
2018.08.31,18:15:00,143.921,143.972,143.84,143.857,4134,143.92532099518974,143.9076428460572,143.90275132409062,18.5799603708977
2018.08.31,18:30:00,143.857,143.981,143.856,143.898,3714,143.91439259711385,143.9054999913778,143.90219234478585,42.64910676423962
2018.08.31,18:45:00,143.899,143.947,143.819,143.866,3301,143.89503555826832,143.8967222155161,143.89793442186988,29.182716161791763
2018.08.31,19:00:00,143.864,143.87,143.691,143.732,3627,143.829821334961,143.86011727873475,143.8784127251793,8.007564510117266
2018.08.31,19:15:00,143.731,143.788,143.708,143.765,2447,143.8038928009766,143.8389801056826,143.86507005162878,32.22834142626669
2018.08.31,19:30:00,143.766,143.803,143.704,143.778,3073,143.79353568058596,143.82542897108647,143.85482651614305,43.87167728700945
2018.08.31,19:45:00,143.777,143.968,143.737,143.947,2945,143.85492140835157,143.85244475528947,143.86567045542034,89.73299313544321
2018.08.31,20:00:00,143.944,143.949,143.869,143.879,1970,143.86455284501093,143.8583459207807,143.86723863713559,54.13651925189416
2018.08.31,20:15:00,143.88,143.905,143.856,143.88,1320,143.87073170700657,143.86315793838497,143.86873997394315,54.665457708583006
2018.08.31,20:30:00,143.879,143.906,143.817,143.858,1818,143.86563902420394,143.862011729855,143.8674764475969,36.26359843151701
